latitude,longitude
2806.6129N,8242.9857W
2806.6129N,8242.9857W
2806.6129N,8242.9857W
2806.6129N,8242.9857W
2806.6129N,8242.9857W
2806.6129N,8242.9857W
2806.6129N,8242.9857W
2806.6129N,8242.9857W
2806.613N,8242.9857W
2806.613N,8242.9857W
2806.613N,8242.9857W
2806.613N,8242.9857W
2806.613N,8242.9857W
2806.613N,8242.9857W
2806.613N,8242.9857W
2806.6131N,8242.9856W
2806.6131N,8242.9856W
2806.6131N,8242.9856W
2806.6131N,8242.9856W
2806.6131N,8242.9856W
2806.6131N,8242.9856W
2806.6132N,8242.9856W
2806.6132N,8242.9856W
2806.6132N,8242.9856W
2806.6132N,8242.9856W
2806.6132N,8242.9856W
2806.6132N,8242.9856W
2806.6132N,8242.9856W
2806.6133N,8242.9856W
2806.6133N,8242.9856W
2806.6133N,8242.9856W
2806.6133N,8242.9856W
2806.6134N,8242.9856W
2806.6134N,8242.9857W
2806.6134N,8242.9857W
2806.6134N,8242.9857W
2806.6135N,8242.9857W
2806.6135N,8242.9857W
2806.6135N,8242.9857W
2806.6135N,8242.9857W
2806.6136N,8242.9857W
2806.6136N,8242.9857W
2806.6136N,8242.9857W
2806.6136N,8242.9857W
2806.6136N,8242.9857W
2806.6137N,8242.9857W
2806.6137N,8242.9857W
2806.6137N,8242.9857W
2806.6138N,8242.9857W
2806.6138N,8242.9857W
2806.6139N,8242.9857W
2806.6139N,8242.9857W
2806.6139N,8242.9857W
2806.614N,8242.9857W
2806.614N,8242.9857W
2806.614N,8242.9857W
2806.6141N,8242.9857W
2806.6141N,8242.9857W
2806.6141N,8242.9857W
2806.6141N,8242.9857W
2806.6141N,8242.9857W
2806.6142N,8242.9857W
2806.6142N,8242.9857W
2806.6142N,8242.9857W
2806.6142N,8242.9857W
2806.6143N,8242.9857W
2806.6143N,8242.9857W
2806.6143N,8242.9857W
2806.6143N,8242.9857W
2806.6143N,8242.9857W
2806.6144N,8242.9857W
2806.6144N,8242.9857W
2806.6144N,8242.9857W
2806.6144N,8242.9857W
2806.6145N,8242.9857W
2806.6145N,8242.9857W
2806.6145N,8242.9857W
2806.6145N,8242.9857W
2806.6146N,8242.9857W
2806.6146N,8242.9857W
2806.6146N,8242.9857W
2806.6146N,8242.9857W
2806.6146N,8242.9857W
2806.6147N,8242.9857W
2806.6147N,8242.9857W
2806.6147N,8242.9856W
2806.6147N,8242.9856W
2806.6147N,8242.9856W
2806.6148N,8242.9855W
2806.6148N,8242.9854W
2806.6148N,8242.9854W
2806.6148N,8242.9853W
2806.6148N,8242.9853W
2806.6149N,8242.9853W
2806.6149N,8242.9853W
2806.615N,8242.9853W
2806.615N,8242.9853W
2806.615N,8242.9853W
2806.6151N,8242.9853W
2806.6151N,8242.9853W
2806.6151N,8242.9853W
2806.6151N,8242.9853W
2806.6151N,8242.9853W
2806.6152N,8242.9853W
2806.6152N,8242.9853W
2806.6152N,8242.9853W
2806.6152N,8242.9853W
2806.6152N,8242.9853W
2806.6152N,8242.9853W
2806.6152N,8242.9853W
2806.6153N,8242.9853W
2806.6153N,8242.9853W
2806.6153N,8242.9853W
2806.6153N,8242.9853W
2806.6153N,8242.9853W
2806.6153N,8242.9853W
2806.6153N,8242.9853W
2806.6153N,8242.9853W
2806.6153N,8242.9853W
2806.6153N,8242.9853W
2806.6153N,8242.9853W
2806.6153N,8242.9852W
2806.6153N,8242.9852W
2806.6154N,8242.9852W
2806.6154N,8242.9852W
2806.6154N,8242.9852W
2806.6154N,8242.9852W
2806.6154N,8242.9852W
2806.6155N,8242.9853W
2806.6155N,8242.9853W
2806.6155N,8242.9853W
2806.6155N,8242.9853W
2806.6156N,8242.9853W
2806.6156N,8242.9853W
2806.6156N,8242.9853W
2806.6156N,8242.9853W
2806.6157N,8242.9853W
2806.6157N,8242.9853W
2806.6157N,8242.9853W
2806.6157N,8242.9853W
2806.6157N,8242.9853W
2806.6157N,8242.9853W
2806.6158N,8242.9853W
2806.6158N,8242.9853W
2806.6158N,8242.9853W
2806.6158N,8242.9853W
2806.6158N,8242.9853W
2806.6158N,8242.9853W
2806.6158N,8242.9853W
2806.6158N,8242.9853W
2806.6158N,8242.9853W
2806.6158N,8242.9853W
2806.6158N,8242.9853W
2806.6159N,8242.9853W
2806.6159N,8242.9853W
2806.6159N,8242.9853W
2806.6159N,8242.9853W
2806.6159N,8242.9853W
2806.6159N,8242.9853W
2806.616N,8242.9853W
2806.616N,8242.9853W
2806.616N,8242.9853W
2806.616N,8242.9853W
2806.616N,8242.9853W
2806.6161N,8242.9853W
2806.6161N,8242.9853W
2806.6161N,8242.9852W
2806.6161N,8242.9852W
2806.6161N,8242.9852W
2806.6162N,8242.9852W
2806.6162N,8242.9852W
2806.6162N,8242.9852W
2806.6162N,8242.9852W
2806.6162N,8242.9852W
2806.6163N,8242.9852W
2806.6163N,8242.9852W
2806.6163N,8242.9852W
2806.6163N,8242.9852W
2806.6163N,8242.9851W
2806.6164N,8242.9851W
2806.6164N,8242.9851W
2806.6164N,8242.9851W
2806.6164N,8242.9852W
2806.6164N,8242.9852W
2806.6165N,8242.9852W
2806.6165N,8242.9852W
2806.6165N,8242.9853W
2806.6165N,8242.9852W
2806.6165N,8242.9852W
2806.6165N,8242.9852W
2806.6165N,8242.9852W
2806.6165N,8242.9852W
2806.6165N,8242.9852W
2806.6165N,8242.9852W
2806.6166N,8242.9852W
2806.6166N,8242.9852W
2806.6166N,8242.9852W
2806.6166N,8242.9852W
2806.6166N,8242.9851W
2806.6166N,8242.9851W
2806.6166N,8242.9851W
2806.6166N,8242.9851W
2806.6166N,8242.9851W
2806.6166N,8242.9851W
2806.6166N,8242.9851W
2806.6166N,8242.9851W
2806.6167N,8242.9851W
2806.6167N,8242.9851W
