Latitude,Longitude
2806.6033N,8243.0056W
2806.6036N,8243.006W
2806.6039N,8243.0063W
2806.6042N,8243.0066W
2806.6043N,8243.0068W
2806.6044N,8243.0069W
2806.6046N,8243.0071W
2806.6047N,8243.0073W
2806.6048N,8243.0075W
2806.6049N,8243.0077W
2806.6052N,8243.008W
2806.6053N,8243.0082W
2806.6053N,8243.0084W
2806.6054N,8243.0087W
2806.6055N,8243.0089W
2806.6056N,8243.0091W
2806.6057N,8243.0093W
2806.606N,8243.0098W
2806.6062N,8243.0102W
2806.6064N,8243.0106W
2806.6067N,8243.0111W
2806.6069N,8243.0115W
2806.6071N,8243.0119W
2806.6073N,8243.0123W
2806.6075N,8243.0127W
2806.6077N,8243.013W
2806.6078N,8243.0134W
2806.6079N,8243.0137W
2806.608N,8243.014W
2806.6081N,8243.0143W
2806.6082N,8243.0147W
2806.6083N,8243.015W
2806.6084N,8243.0153W
2806.6087N,8243.0159W
2806.6089N,8243.0162W
2806.609N,8243.0166W
2806.6093N,8243.0168W
2806.6096N,8243.0169W
2806.6098N,8243.017W
2806.61N,8243.0172W
2806.6103N,8243.0173W
2806.6105N,8243.0174W
2806.6107N,8243.0176W
2806.6109N,8243.0178W
2806.6111N,8243.018W
2806.6113N,8243.0182W
2806.6114N,8243.0184W
2806.6115N,8243.0186W
2806.6114N,8243.0185W
2806.6113N,8243.0185W
2806.6112N,8243.0185W
2806.6112N,8243.0185W
2806.6112N,8243.0185W
2806.6112N,8243.0185W
2806.6111N,8243.0185W
2806.611N,8243.0184W
2806.611N,8243.0184W
2806.611N,8243.0184W
2806.611N,8243.0184W
2806.611N,8243.0184W
2806.611N,8243.0184W
2806.611N,8243.0185W
2806.6111N,8243.0186W
2806.6111N,8243.0187W
2806.6112N,8243.0188W
2806.6112N,8243.0189W
2806.6113N,8243.0189W
2806.6113N,8243.019W
2806.6114N,8243.0191W
2806.6114N,8243.0192W
2806.6114N,8243.0194W
2806.6115N,8243.0195W
2806.6116N,8243.0197W
2806.6115N,8243.0196W
2806.6112N,8243.0193W
2806.611N,8243.019W
2806.6107N,8243.0188W
2806.6104N,8243.0185W
2806.6101N,8243.0183W
2806.6098N,8243.018W
2806.6096N,8243.0179W
2806.6095N,8243.0177W
2806.6093N,8243.0175W
2806.6092N,8243.0173W
2806.6091N,8243.0171W
2806.6091N,8243.0171W
2806.6091N,8243.0171W
2806.6091N,8243.0171W
2806.6091N,8243.017W
2806.609N,8243.0168W
2806.609N,8243.0167W
2806.6088N,8243.0167W
2806.6088N,8243.0166W
2806.6087N,8243.0165W
2806.6086N,8243.0165W
2806.6085N,8243.0164W
2806.6084N,8243.0163W
2806.6083N,8243.0163W
2806.6082N,8243.0163W
2806.6082N,8243.0162W
2806.6082N,8243.0163W
2806.6081N,8243.0164W
2806.6081N,8243.0164W
2806.6082N,8243.0165W
2806.6082N,8243.0166W
2806.6082N,8243.0166W
2806.6082N,8243.0166W
2806.6083N,8243.0166W
2806.6083N,8243.0166W
2806.6083N,8243.0167W
2806.6083N,8243.0167W
2806.6083N,8243.0167W
2806.6083N,8243.0167W
2806.6084N,8243.0167W
2806.6084N,8243.0167W
2806.6084N,8243.0166W
2806.6084N,8243.0166W
2806.6084N,8243.0165W
2806.6084N,8243.0165W
2806.6084N,8243.0164W
2806.6081N,8243.0166W
2806.6079N,8243.0168W
2806.6078N,8243.0169W
2806.6077N,8243.017W
2806.6074N,8243.0166W
2806.6072N,8243.0163W
2806.6069N,8243.016W
2806.6067N,8243.0157W
2806.6065N,8243.0154W
2806.6063N,8243.0152W
2806.6064N,8243.0152W
2806.6065N,8243.0153W
2806.6065N,8243.0153W
2806.6066N,8243.0154W
2806.6067N,8243.0154W
2806.6067N,8243.0155W
2806.6068N,8243.0155W
2806.6068N,8243.0156W
2806.6069N,8243.0157W
2806.6068N,8243.0157W
2806.6068N,8243.0158W
2806.6067N,8243.0158W
2806.6067N,8243.0158W
2806.6066N,8243.0159W
2806.6065N,8243.0159W
2806.6065N,8243.016W
2806.6064N,8243.016W
2806.6063N,8243.0161W
2806.6062N,8243.0161W
2806.6061N,8243.0162W
2806.606N,8243.0163W
2806.6059N,8243.0163W
2806.606N,8243.0165W
2806.6059N,8243.0167W
2806.6062N,8243.0169W
2806.6064N,8243.0171W
2806.6066N,8243.0173W
2806.6067N,8243.0174W
2806.6066N,8243.0177W
2806.6073N,8243.0172W
2806.6074N,8243.0174W
2806.6076N,8243.0174W
2806.6077N,8243.0175W
