8832,7616,-8572,23.49,58,1241,-2741
16540,-1604,-872,23.68,116,-150,138
16652,-1584,-1120,23.73,139,-46,128
16560,-1480,-1040,23.68,183,-16,77
16752,-1400,-1080,23.78,151,41,23
16552,-1212,-984,23.73,228,-102,-22
16560,-1700,-892,23.78,239,-4,-265
16572,-1448,-596,23.73,34,75,-713
16624,-1200,-932,23.82,-546,-196,-1009
16576,-908,-704,23.73,-168,-457,-806
16508,-772,-636,23.78,-404,-1352,-538
17264,-344,-344,23.78,-1392,-2598,-463
17156,-416,-72,23.78,-2344,-5430,-271
18164,-4472,-4048,23.73,-4890,-6788,1531
15032,-3500,-4660,23.68,-4769,-2487,1883
15788,-28,-348,23.68,8224,7530,2886
17412,724,1156,23.82,5015,16481,252
18864,124,1224,23.68,733,18748,-3257
14284,-920,-512,23.82,697,8489,-651
13620,-2416,-3072,23.78,2545,-5439,2689
18572,-2812,1820,23.78,-1534,-5006,4867
16516,-560,2720,23.78,-730,-3375,3131
15880,-4816,3604,23.64,-1987,-3497,2406
15896,-4232,2108,23.73,-3028,-4699,1981
15756,-5088,84,23.82,-1720,-3514,1132
15964,-4548,888,23.73,-1583,-2165,476
16452,-3876,280,23.68,-2045,-3980,781
15768,-4520,292,23.73,-4744,-4704,268
17172,-3724,-72,23.73,-2608,-7817,-207
21576,-3992,2324,23.68,-6678,-14616,2232
12456,-5324,-11348,23.82,-2367,-12222,1087
8428,-396,-5808,23.78,4990,16527,-6255
19276,-4664,-8852,23.73,11348,22655,-9265
15328,-5500,-13068,23.78,-1316,-4294,3386
17108,-2920,-2628,23.78,736,2029,43
16164,-2380,-136,23.73,268,907,596
16632,-1628,-344,23.78,1033,901,324
16456,-1972,300,23.73,826,7,580
16436,-2228,-108,23.78,484,-71,535
16516,-2052,-120,23.82,389,-305,478
16572,-2280,-416,23.78,219,-420,590
16556,-2288,-136,23.68,101,-332,473
16604,-2248,-436,23.82,501,-466,447
16448,-2604,-328,23.78,643,-152,265
16376,-2348,-236,23.73,195,-394,247
16464,-2448,-652,23.78,295,-352,198
16444,-2312,-660,23.82,158,-358,167
16352,-2572,-688,23.78,223,-267,186
16460,-2576,-624,23.82,125,-377,104
16544,-2232,-1036,23.78,-126,5,49
16412,-2372,-824,23.78,-195,285,67
16432,-2436,-648,23.82,-84,281,66
16384,-2388,-452,23.82,135,184,21
16532,-2236,-604,23.73,260,111,120
16544,-2424,-576,23.87,299,104,176
16460,-2468,-524,23.87,374,188,150
16492,-2148,-60,23.78,395,154,66
16620,-2296,-388,23.73,282,116,185
16496,-2388,-252,23.73,170,212,198
16584,-2360,-344,23.78,293,269,177
16560,-2344,28,23.82,399,125,129
16548,-2444,-296,23.78,280,1,96
16656,-2316,-176,23.68,307,71,83
16612,-2352,-88,23.78,-47,69,208
16536,-2316,-348,23.68,12,115,256
16680,-2396,-176,23.68,68,201,278
16608,-2396,36,23.78,252,105,229
16420,-2612,168,23.87,206,-188,196
16504,-2432,192,23.73,266,-364,102
16488,-2380,-248,23.78,49,-299,-4
16512,-2304,-176,23.87,126,-332,3
16556,-2440,-340,23.78,90,-287,71
16500,-2532,-240,23.68,109,-112,123
16520,-2300,-200,23.82,123,-54,212
16504,-2472,-124,23.82,183,8,302
16524,-2388,-244,23.82,214,-121,317
16576,-2384,-236,23.78,168,-17,215
16516,-2520,-472,23.68,212,-9,247
16468,-2528,-328,23.78,264,17,199
16524,-2600,-192,23.78,383,-22,177
16448,-2648,-24,23.82,252,121,90
16444,-2500,4,23.87,165,57,104
16472,-2420,-92,23.87,105,-48,121
16480,-2464,-156,23.87,79,-219,175
16492,-2532,-320,23.82,100,-205,178
16608,-2524,-212,23.68,105,-269,210
16560,-2496,-172,23.73,72,-217,209
16528,-2520,-424,23.73,100,-201,225
16584,-2504,-88,23.68,156,-183,226
16396,-2528,-296,23.78,157,-227,263
16484,-2688,-460,23.82,113,-340,268
16536,-2636,-448,23.78,172,-252,223
16504,-2676,-676,23.73,196,-267,232
16544,-2596,-580,23.78,149,-208,232
16544,-2608,-708,23.87,186,-191,245
16464,-2668,-804,23.82,242,-68,220
16396,-2676,-400,23.78,177,-2,193
16528,-2728,-464,23.78,164,51,144
16356,-2668,-408,23.78,147,-31,135
16512,-2736,-452,23.82,142,-75,137
16532,-2660,-632,23.73,171,-52,156
16328,-2716,-516,23.78,158,49,94
16464,-2748,-468,23.87,163,-127,143
16412,-2664,-688,23.82,127,-94,121
16524,-2716,-512,23.82,130,-152,117
16420,-2616,-708,23.87,134,-97,122
16512,-2696,-508,23.78,86,-20,94
16472,-2664,-552,23.73,106,-110,101
16456,-2588,-504,23.87,127,-148,117
16528,-2644,-568,23.78,98,-70,110
16540,-2620,-676,23.82,136,-102,113
16476,-2620,-756,23.87,136,-61,90
16472,-2696,-652,23.78,137,-73,74
16440,-2604,-700,23.73,110,-108,91
16428,-2564,-668,23.73,153,-113,98
16408,-2532,-556,23.78,123,-109,123
16576,-2616,-640,23.82,134,-66,173
16516,-2696,-696,23.82,151,-31,159
16540,-2600,-768,23.68,150,47,100
16468,-2684,-548,23.78,165,-35,100
16584,-2584,-652,23.82,165,-160,177
16452,-2508,-616,23.87,193,-75,155
16596,-2552,-692,23.78,215,-24,180
16476,-2580,-580,23.73,141,47,151
16500,-2640,-424,23.73,143,19,140
16496,-2608,-584,23.73,169,18,145
16544,-2552,-652,23.78,192,12,138
16388,-2648,-628,23.78,141,-1,133
16464,-2632,-672,23.78,180,-34,137
16472,-2632,-676,23.92,177,57,130
16452,-2556,-468,23.82,148,43,122
16460,-2440,-424,23.82,228,18,94
16412,-2436,-568,23.82,226,10,152
16488,-2496,-684,23.87,306,18,219
16416,-2660,-368,23.87,338,10,198
16524,-2672,-604,23.87,197,63,195
16512,-2672,-224,23.73,40,30,188
16576,-2700,-472,23.82,107,119,133
16360,-2688,-236,23.82,158,119,74
16508,-2720,-348,23.68,147,71,58
16424,-2644,-332,23.78,143,19,85
16404,-2556,-232,23.78,147,-117,99
16348,-2604,-452,23.78,75,-170,108
16524,-2636,-360,23.82,86,-156,126
16460,-2520,-316,23.87,104,-120,102
16500,-2588,-536,23.87,132,-151,109
16484,-2480,-484,23.73,109,-231,153
16588,-2492,-516,23.78,165,-220,184
16548,-2520,-652,23.82,118,-248,205
16420,-2564,-596,23.78,97,-164,196
16460,-2576,-600,23.87,103,-170,192
16480,-2596,-584,23.82,100,-193,246
16460,-2740,-644,23.87,166,-90,193
16556,-2692,-764,23.82,173,-218,203
16508,-2640,-612,23.78,137,-158,223
16396,-2728,-652,23.82,200,-64,185
16484,-2776,-632,23.78,216,-16,178
16452,-2608,-604,23.78,249,52,166
16504,-2780,-628,23.82,208,-13,201
16504,-2700,-676,23.82,208,-14,229
16380,-2644,-544,23.78,132,-105,281
16472,-2884,-796,23.82,184,-95,328
16424,-2760,-624,23.82,243,-211,411
16472,-2860,-704,23.78,271,-278,426
16464,-2904,-792,23.73,234,-273,455
16424,-2992,-284,23.68,304,-266,559
16516,-3024,-1056,23.82,538,-404,688
16264,-3168,-744,23.87,424,-317,625
16300,-3536,-1020,23.82,220,-243,603
16260,-3172,-828,23.73,281,-322,444
16312,-3684,-1112,23.78,311,-319,418
16244,-3636,-1028,23.82,221,-159,203
16284,-3436,-1292,23.78,276,-186,82
16340,-3440,-1024,23.92,214,23,-24
16420,-3400,-1348,23.78,130,101,-111
16344,-3140,-816,23.82,184,184,-113
16424,-3376,-1108,23.87,272,167,-89
16304,-3312,-948,23.78,172,168,-56
16328,-3284,-1028,23.82,232,117,-8
16380,-3304,-952,23.78,253,483,-112
16268,-3244,-624,23.82,129,261,-67
