12976,-2808,-10708,23.97,-135,-136,-143
15588,-3476,6252,24.06,1224,3682,-921
15548,-616,3156,24.01,-211,-4838,2417
15768,-4124,4452,24.06,2289,1145,1809
16776,-3436,2404,24.06,-1113,212,-2181
15960,-3288,4008,24.01,186,478,-410
15584,-3692,4524,24.11,234,378,554
15652,-3948,4448,24.11,199,126,335
15616,-3676,4380,24.11,116,-105,37
15632,-3692,4580,23.97,225,-115,170
15592,-3872,4360,24.06,174,-102,83
15588,-3820,4536,24.06,155,150,271
15600,-3904,4416,24.06,106,-38,196
15624,-3928,4616,24.01,155,-65,136
15600,-3988,4512,24.11,170,-3,145
15544,-3952,4772,24.06,154,58,207
15572,-3984,4672,24.11,91,80,186
15520,-4120,4568,24.06,208,-82,259
15436,-4052,4492,24.06,163,-252,1
15512,-4120,4560,24.01,138,-94,8
15580,-3984,4700,23.97,198,-259,325
15236,-4268,4536,24.06,-47,-396,1395
15812,-5728,2104,23.97,42,-2841,449
15700,-5488,1808,24.06,-585,-1295,-652
20216,-3012,4000,24.06,-7015,-11664,-6337
17260,-1856,-220,24.06,5118,26757,11567
21760,2844,9392,24.01,11500,-13730,584
15496,-6352,2264,24.06,-1314,-2882,-462
20384,-5872,8272,24.01,-13494,-16333,-6815
21296,-4572,-1320,23.92,5791,32767,17751
19892,108,368,23.92,-2147,-12511,29
14840,-6104,2840,23.82,-3416,-8530,-2032
5228,-2436,4232,23.97,2493,9459,1734
32767,-7600,6608,23.87,-1039,-10521,4126
15820,-4844,2244,23.87,-536,-4393,-1687
26728,-6000,3884,23.73,-14664,-12240,-17930
26604,-8024,-3768,23.82,3200,32767,19456
15004,-8604,2340,23.82,1105,-7516,-265
18236,-3044,4844,23.87,-1065,-11100,-6356
8132,-4212,-1528,23.82,20609,15032,-4930
15544,-4524,-7164,23.78,-6712,-10457,-167
14512,-7208,2608,23.73,-1261,-4361,-1122
20972,-9536,6412,23.78,-10506,-13388,-7639
19704,-5960,-4172,23.64,3017,32767,15591
14276,-13096,144,23.73,955,-15361,-539
14796,-5748,3600,23.73,-1029,-5608,-3360
13128,10400,-23388,23.73,28997,-6599,-3562
23240,-4592,-1452,23.68,5371,24110,16382
16316,-5256,2500,23.64,1041,-4621,-538
17312,-4132,3272,23.59,-3643,-12794,-6241
12008,-4172,-4204,23.73,15309,19959,10415
29596,8384,5452,23.64,11222,-16963,-2498
15504,-5616,2060,23.64,-992,-3528,-1129
20428,-13604,2660,23.64,-27995,-9686,-15750
24920,-3940,-2188,23.59,41,31322,14588
15740,-6668,3140,23.59,41,-4427,-1373
18376,-9844,1460,23.45,-5060,-11676,-4793
10664,-6848,-4428,23.54,9993,20683,2431
23608,8636,32767,23.49,15177,-16323,15
16508,-3464,2572,23.54,2311,-4151,214
20556,-9880,8852,23.49,-7582,-15931,-11049
22416,-7308,-2440,23.49,6061,32767,15254
17724,-2068,4296,23.49,2289,-12598,-2661
15412,-5512,2312,23.49,-967,-3578,-823
17440,-18556,-2880,23.45,-21995,-9466,-14897
22812,-7288,-148,23.40,14074,23211,17916
15676,-6288,5352,23.35,4941,-12302,4966
18892,-1368,2768,23.54,32767,-17606,1839
15964,-4284,3744,23.40,122,-8,453
15616,-4308,4076,23.49,581,534,218
15500,-4332,4208,23.40,185,-92,84
15644,-4216,4060,23.40,183,-38,166
15616,-4288,4216,23.45,235,1,188
15692,-4324,4244,23.45,194,-36,185
15600,-4268,4120,23.45,164,-37,162
15532,-4356,4244,23.54,221,194,176
15420,-4324,4268,23.45,178,-154,255
15480,-4756,4432,23.45,170,-62,347
15496,-4448,4236,23.45,138,-43,125
15444,-4608,4112,23.45,152,9,108
15408,-4380,4248,23.35,134,-102,102
15440,-4504,4216,23.54,143,-117,179
15360,-4428,4252,23.54,23,-269,112
15608,-4568,3776,23.35,-11,-421,717
15240,-5476,3188,23.40,171,-2348,1414
15228,-5868,1756,23.35,-1127,-3296,-1025
17444,-5448,116,23.45,-3542,-10235,-5733
15692,-2376,-720,23.35,9630,27752,14382
18000,-9768,-1428,23.40,-6111,-16455,-1512
14372,-5592,4708,23.40,-1271,-6826,-3937
12088,-11100,4992,23.31,12721,3803,711
31012,-3160,5208,23.26,17067,-15526,6185
17248,-1604,4832,23.35,2116,-4531,-1282
24508,-7968,5880,23.31,-9174,-13689,-16682
26780,-7544,-5596,23.26,7218,29225,17432
17200,-3976,2212,23.17,39,-4769,-449
17896,-5596,3396,23.26,-2583,-14957,-7715
15512,-9888,-5096,23.21,20329,27015,7961
18340,-1856,4008,23.26,1864,-17608,-3425
13768,-5668,5028,23.17,-764,-5346,-3817
19900,6072,-20328,23.26,19083,-10003,-6288
18484,-3672,-12360,23.07,27496,7409,20209
15400,-4752,3136,23.26,803,-4014,-1265
23272,-3624,10220,23.12,-5130,-15732,-12583
20480,-8452,-4140,23.17,15772,32767,13662
20400,2196,520,23.07,-1228,-13062,1061
14776,-5720,3316,23.12,-957,-8955,-3518
5172,-8536,1528,23.07,11404,9846,-1751
14352,6568,-5820,23.07,9652,-8331,8698
16576,-1948,4056,23.21,1417,-4159,-1898
23776,-6968,13124,22.98,-7475,-17345,-12653
23744,-10944,-4180,22.98,7622,32767,18761
18796,-596,4340,23.02,257,-10329,-977
15092,-4712,4244,23.07,960,-11001,-4605
7080,-7768,-444,23.02,17173,13244,-720
32148,-6196,5348,23.02,6235,-9717,4966
15708,-4032,2756,22.93,-981,-2564,-827
29664,-8468,6240,22.98,-11940,-12830,-20296
26344,-4476,-4560,22.98,8522,31395,18564
17304,-3800,2656,23.07,1247,-5679,-858
19728,-6284,3492,22.88,70,-15443,-9196
15552,-4292,-3088,22.88,12494,28440,9589
17196,-5512,2300,23.02,1779,-15919,594
15796,-3780,3224,22.93,411,-5239,-3682
12000,-9016,2400,22.93,24844,-1953,1206
17956,-9216,-10204,22.88,-445,16457,11488
14684,-6620,4104,22.93,-822,-3731,-1351
19032,-7484,4484,22.84,-1600,-13614,-9506
15964,-3352,-1184,22.88,12365,26301,7544
22780,-320,2904,22.88,-834,-15409,-1588
15860,-4684,2900,22.93,211,-3807,-2197
18184,-18908,2560,22.93,-2999,-13117,-15565
22384,-9128,-2512,22.88,6228,28410,20025
18332,-1388,3472,22.84,2497,-10083,-535
15220,-5036,3376,22.79,717,-12121,-5730
6728,-8564,-1712,22.98,18923,8935,-409
16024,-2652,-10624,22.88,637,-13940,1811
15776,-4312,3616,22.88,515,-2577,-785
25944,-1848,9748,22.84,-8457,-17800,-14667
26736,-9504,-2880,22.88,6861,32767,20176
17124,-4300,2812,22.79,3332,-9653,501
17504,-3368,5384,22.88,-2075,-14014,-6794
14080,-6944,-3908,22.79,16437,28978,7262
16124,-6796,1792,22.74,840,-14919,-2179
13892,-5744,3972,22.84,113,-8128,-4072
13776,-9656,4364,22.93,18201,7004,-5899
14688,152,-8168,22.69,576,-10796,3503
15360,-5460,3372,22.74,-36,-3794,-1605
25020,-15108,5716,22.74,-7719,-18306,-11126
25444,-9468,-3144,22.69,10066,32767,21026
