Time,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
9600,15744,-1760,-28,167,41,62,-8449,-4865,-3329
9700,15952,-1952,-128,39,369,470,-8705,-4609,-1537
9800,15932,-2032,264,-133,272,-291,-7169,-4097,-3585
9900,16104,-1792,460,-410,889,-242,-7169,-6145,-1537
10000,15704,-1852,464,-517,1380,-421,-8449,-4353,-2305
10100,15396,-1724,568,-874,1342,-423,-7425,-4865,-2817
10200,15432,-1852,100,-1133,2016,-396,-7425,-4865,-1281
10300,17872,-3740,-624,-1069,1658,908,-6657,-5121,-3073
10400,15184,-2844,-1540,267,695,-747,-7681,-5121,-2049
10500,15276,-3836,-792,777,503,-261,-6401,-5377,-2817
10600,15604,-3264,-932,1216,-859,-882,-7169,-6145,-4609
10700,17964,-3612,-504,69,-12,-640,-6145,-6657,-2049
10800,17488,-2448,224,815,-14,440,-7425,-3841,-4353
10900,15396,-784,1988,2960,-1271,-342,-6657,-6657,-4609
11000,14988,-1700,2340,1766,2128,-319,-5633,-6657,-4097
11100,12796,-588,1620,1737,294,-885,-5377,-6401,-3841
11200,14668,-1008,112,23,1202,-133,-4097,-7681,-5121
11300,14892,-896,584,-720,-1792,-939,-4353,-7425,-5377
11400,19000,-1032,396,-1331,-2575,1021,-4865,-6913,-5377
11500,18244,-1864,1188,-352,-3026,868,-5121,-5633,-7169
11600,14188,-3612,2904,-1297,1044,-1517,-3585,-4609,-6657
11700,14060,-2248,1428,-2322,2775,-1684,-4609,-6657,-7169
11800,13680,-2612,788,-1480,1742,-1018,-6913,-5377,-6401
11900,14396,-2584,508,-304,241,-172,-6145,-5633,-6657
12000,17700,-2400,-564,613,-1068,198,-6145,-5633,-6145
12100,21588,-4436,2036,999,-1728,-569,-5377,-5889,-5889
12200,16380,-128,2960,2807,2187,409,-2561,-6657,-4609
12300,16652,-1832,2260,3193,3652,712,-2561,-7169,-4609
12400,12788,-856,1012,1706,341,-1697,-1025,-7169,-3585
12500,13412,-400,508,-1471,1125,-220,-2305,-7937,-2817
12600,15908,32,608,-527,-2904,-1173,-3329,-6401,-4353
12700,18268,416,-1236,-1535,-1751,-133,-4097,-6145,-5633
12800,20420,-1620,1808,-738,-2337,-1799,-4097,-5633,-4609
12900,15804,-2980,4300,579,310,-2155,-4609,-6145,-6657
13000,14976,-1696,1844,-1976,4173,639,-3329,-6913,-4865
13100,13408,-2404,1548,-149,1061,-352,-4353,-7425,-4353
13200,14008,-2304,1056,-466,1260,118,-5377,-7937,-3841
13300,16084,-2376,-840,942,-805,-2168,-4609,-6657,-4097
13400,20056,-1192,224,1179,-4334,-2079,-4353,-5889,-5889
13500,17668,1764,1584,-898,-693,2240,-5377,-6913,-6913
13600,14816,-696,2512,5080,-110,1588,-2561,-7169,-4609
13700,12312,-712,204,2586,746,-322,-1025,-7169,-4097
13800,13076,-656,-656,-86,-248,236,-1793,-6401,-4865
13900,15364,-452,472,-533,-2261,-1079,-769,-5377,-4353
14000,18596,524,1636,-1724,-1820,657,-3073,-5121,-6145
14100,17408,-1984,876,-3283,-1426,-3053,-1537,-5633,-4609
14200,16932,-2628,2300,-3743,5036,-665,-4097,-6657,-4097
14300,11696,-1400,1072,64,1477,-661,-5121,-6657,-3585
14400,12556,-1988,120,2142,-791,-325,-4609,-7169,-3585
14500,17752,-2096,-448,567,-61,1063,-2305,-5889,-4353
14600,19468,-1216,-1096,2172,-2698,-272,-3841,-5377,-4353
14700,18588,-1992,2408,2431,-415,-689,-2305,-5889,-4865
14800,14252,12,2464,3811,1107,695,-1793,-3841,-3841
14900,15864,-1352,2056,2362,1434,-1491,-1025,-5121,-2049
15000,13824,-8,1424,-968,875,-1753,-513,-4097,-2561
15100,14072,600,1312,-2203,-1523,-869,-1793,-4865,-1281
15200,22868,-6328,6416,-2039,1477,310,-1793,-5377,-2817
15300,14028,-1236,1500,2688,118,-1430,-3585,-5121,-3073
15400,15000,-1272,2572,2711,2250,-185,-1537,-4097,-2049
15500,16000,-1712,2012,8029,1245,2052,-1281,-4865,-1793
15600,16584,-1308,2160,12911,630,2451,1024,-3329,-257
15700,15772,-2392,2196,17226,-647,1601,6144,-2817,2560
15800,15324,-2580,1664,18826,9,1614,8448,-3073,5888
15900,17944,-888,2400,16499,1533,3527,9728,-2305,9728
16000,14612,1388,2048,14884,-811,1430,10752,-1793,14336
16100,16696,640,1372,7346,1893,282,9728,-1793,17408
16200,15068,1140,-12,6483,-1374,60,8448,-2561,18176
16300,15788,1400,272,3675,-1023,-364,8704,-1281,19456
16400,17736,244,1712,-993,2621,1336,9728,-1793,19456
16500,12908,236,1056,-1521,-521,674,9728,-1281,18944
16600,20492,-2980,2420,-2628,4073,4000,8192,-257,19456
16700,15464,-1308,-136,814,-1559,-485,9472,256,18176
16800,13624,-3000,280,955,484,195,10496,-1025,19200
16900,16108,-2208,60,622,-461,672,10752,512,19968
17000,17212,-1768,-484,1130,-2417,-699,11776,1536,19456
17100,20676,-2192,1440,-470,-903,-683,9984,768,18688
17200,14564,-424,3556,2921,-888,-133,9728,-769,18944
17300,16812,-992,3676,2822,2388,2336,10496,256,19200
17400,13384,-504,852,3245,-311,-931,9472,256,21248
17500,13764,-712,936,-522,1135,-587,9728,-257,20480
17600,16388,-240,1432,-292,-2999,-460,10240,-769,20992
17700,20564,108,512,-290,-4140,393,9472,-513,19200
17800,18264,-1748,1808,-3372,-1667,-2472,9984,-513,18176
